_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_one_of_the_sentiments_below,choose_one_of_the_sentiments_below:confidence,choose_one_of_the_sentiments_below_gold,id,sentence
1217404946,false,finalized,3,4/24/2017 04:43:08,positive,1.0,,43,While it weakens in its final stretch...A History of Violence succeeds enormously thanks to the strength of its direction and performances.
1217404947,false,finalized,3,4/24/2017 04:19:33,positive,0.6897,,44,"A truly entertaining and engrossing study of violence, family, and our pasts eventually coming back to haunt us..."
1217404948,false,finalized,4,4/24/2017 04:03:30,negative,0.5226,,45,Here's the final mystery about Accepted: Why title a movie that so readily invites the headline Rejected as a critical riposte?
1217404949,false,finalized,3,4/24/2017 04:43:08,negative,0.6965,,46,"Even though it outright plagiarizes many plot points and gags of that generational classic, Accepted can't make the leap from contrived to genuine comedy."
1217404950,false,finalized,3,4/24/2017 04:45:32,positive,0.6766,,47,"If you can lighten up for an hour and a half, the film delivers one good laugh after another."
1217404951,false,finalized,3,4/24/2017 04:19:30,negative,1.0,,48,Too bad what begins as a cheerfully irreverent comedy in the tradition of Animal House gets all pious when it slams fraternity culture at neighboring Harmon College.
1217404952,false,finalized,3,4/24/2017 04:16:53,positive,0.6205,,49,"It has a few funny bits here and there, but they're deeply mired in the seen-it-all-beforeness of the film."
1217404953,false,finalized,3,4/24/2017 04:19:19,positive,1.0,,50,Sporadically entertaining but relentlessly lightweight...
1217404954,false,finalized,3,4/24/2017 04:16:48,positive,0.3613,,51,Though keeping worthwhile targets - like professors who want to see their most creative students fail - director Steve Pink lets his punk inspiration slide into standard school rivalries and unrelated slapstick.
1217404955,false,finalized,3,4/24/2017 04:10:30,negative,1.0,,52,The movie works on the pure energy of its straight-faced silliness.
1217404956,false,finalized,3,4/24/2017 04:45:32,neutral,0.3551,,53,[Accepted] would be funnier with an R rating on principle
1217404957,false,finalized,3,4/24/2017 04:15:15,positive,0.6644,,54,"Average comedy that's low on jokes and doesn't quite live up to its premise, though it remains watchable thanks to a charming performance by Justin Long."
1217404958,false,finalized,4,4/24/2017 04:06:16,negative,1.0,,55,"By summoning his inner classicist, [director] Stone has made an excruciating disaster for the ages."
1217404959,false,finalized,3,4/24/2017 04:10:30,negative,1.0,,56,"Though the battles have the blood-and-sinew bravado you expect from Oliver Stone, this three-hour buttnumbathon is hamstrung by a hectoring grandiosity, not new to Stone, and a nod toward caution, which is."
1217404960,false,finalized,3,4/24/2017 04:17:42,positive,0.6717,,57,"At a reported cost of $155 million, Alexander qualifies as a super-spectacle in every respect but one -- namely in its neurotic, confused and sexually ambidextrous hero."
1217404961,false,finalized,3,4/24/2017 04:13:15,neutral,0.3479,,58,"Sluggish, unsmiling, and almost as limp as the feather fans with which our heroes are gently aerated on their trip to the Hanging Gardens of Babylon."
1217404962,false,finalized,3,4/24/2017 04:18:57,positive,0.6997,,59,"It's just a wild, glorious, wacky mess that I found really entertaining."
1217404963,false,finalized,4,4/24/2017 04:03:30,very_positive,0.5344,,60,"This new set presents the film in great quality and comes with some fantastic special features, but it's doubtful that this latest version of ""Alexander"" is going to change anyone's mind as to the quality of the film itself."
1217404964,false,finalized,3,4/24/2017 04:15:15,positive,0.6644,,61,"For the lucky few that see this without ever having viewed the first cut, they may wonder what all the criticism was about in the first place."
1217404965,false,finalized,3,4/24/2017 05:14:12,negative,1.0,,62,General mistakes all across the board contribute and reinforce each other to bring it down
1217404966,false,finalized,3,4/24/2017 04:18:04,neutral,1.0,,63,"This is ultimately ""Alexander"" as written by Danielle Steele..."
1217404967,false,finalized,3,4/24/2017 04:17:42,negative,0.6717,,64,"Stone doesn't present characters that the audience can believe in, even for one moment, as representative of their historic roles."
1217404968,false,finalized,3,4/24/2017 04:13:15,positive,1.0,,65,"Costa-Gavras deserves credit for staying the course; in a time when most European film directors are wringing their hands, he's still pointing fingers."
1217404969,false,finalized,3,4/24/2017 04:17:12,positive,0.634,,66,Tukur's performance is the centerpiece of the movie; it's a wonderful mixture of outrage and swiftly disappearing naivete.
1217404970,false,finalized,3,4/24/2017 04:16:20,positive,0.6789,,67,"In a remarkably subtle turn, the German Tukur is convincing as [Gerstein]."
1217404971,false,finalized,3,4/24/2017 04:19:19,neutral,0.6636,,68,"What should have been agonizing in its impact comes off as wooden, perhaps because Costa-Gavras works in schematic fashion, spoon-feeding us issues while skimming the historical surface."
1217404972,false,finalized,3,4/24/2017 04:06:40,neutral,1.0,,69,"Amen., a docudrama rather than a documentary, is clearly guided by Shoah's example, asking us to reflect on the Holocaust and what made it possible rather than simply recoil from it."
1217404973,false,finalized,3,4/24/2017 04:17:12,negative,1.0,,70,"a sputtering, wet firecracker"
1217404974,false,finalized,3,4/24/2017 04:10:30,neutral,0.6283,,71,"Though Costa-Gavras brings nothing new to the table about the Holocaust, he puts another nail down in the argument that the world could have acted but didn't because of indifference."
1217404975,false,finalized,4,4/24/2017 04:17:12,positive,1.0,,72,"Though such elements might chip away somewhat at Amen's seriousness of intent, they do add fire to the stimulating drama."
1217404976,false,finalized,3,4/24/2017 04:19:30,negative,0.6637,,73,"It's so inert, so slow-moving that it seems at least twice as long as it really is, and it manages to waste a potentially fascinating premise."
1217404977,false,finalized,3,4/24/2017 04:16:53,positive,0.6747,,74,Costa-Gavras often shortchanges the story's inherent drama for talky and strident speechifying.
1217404978,false,finalized,3,4/24/2017 04:13:15,very_negative,0.6521,,75,"Extremely heavy-handed, almost comically repetitious, and way too long."
1217404979,false,finalized,3,4/24/2017 04:20:46,negative,0.6739,,76,"Alejandro González Iñárritu's latest sprawling, dispersed art-film blockbuster prompts a question: Does he just not know how to tell a story?"
1217404980,false,finalized,3,4/24/2017 04:19:30,negative,0.6637,,77,"If misery is your pornography, Babel is your holy grail."
1217404981,false,finalized,3,4/24/2017 04:19:33,positive,0.6121,,78,"It's a great film made with style and heart and hope, a cautionary parable and an almost certain Oscar contender."
1217404982,false,finalized,3,4/24/2017 04:16:53,positive,1.0,,79,"The experience of watching Babel is undeniably riveting: Even if the film doesn't really lead anywhere, you still can't take your eyes off it."
1217404983,false,finalized,3,4/24/2017 04:17:12,very_negative,0.366,,80,"Babel is a beautifully depressing film about responsibility, redemption, and ultimately that there are consequences to people's actions, regardless of who they are and where they live."
1217404984,false,finalized,3,4/24/2017 04:16:20,neutral,0.6488,,81,"The gimmick-machinery whirrs, but the human beings in it can't breath"
1217404985,false,finalized,3,4/24/2017 04:16:48,positive,1.0,,82,Director Alejandro González Iñárritu and writer Guillermo Arriaga have fashioned their ideas with conviction and obvious care.
1217404986,false,finalized,3,4/24/2017 04:20:46,positive,0.3478,,83,"An ensemble cast, low-key drama, and tolerable political commentary make ""Babel"" a gripping success."
1217404987,false,finalized,3,4/24/2017 04:12:02,negative,0.6833,,84,Babel...belongs to an unfortunately proliferating genre that might be called the higher kitsch.
1217404988,false,finalized,3,4/24/2017 04:43:08,negative,0.6965,,85,...language acts more as a means to distance and isolate us than aid in our understanding of one another.
1217404989,false,finalized,3,4/24/2017 04:43:08,negative,0.6358,,86,"Nolan takes an admirable stab at developing a character-driven drama, only to give in to generic action-movie conventions with a blinding, deafening, explosion-laden finale that could have capped off any number of interchangeable Jerry Bruckheimer flicks."
1217404990,false,finalized,3,4/24/2017 04:10:30,negative,0.3717,,87,"It's not just the birth of Batman we're seeing in this triumphant interpretation, it's also the dawning of Gotham City's age of greed."
1217404991,false,finalized,3,4/24/2017 04:18:57,very_positive,0.6535,,88,"Here's how any great franchise should start: with care, precision and delicately wrought atmosphere."
1217404992,false,finalized,3,4/24/2017 04:18:04,neutral,0.6858,,89,A nonstarter.
1217404993,false,finalized,3,4/24/2017 05:14:01,positive,1.0,,90,"A rousing, reverent, often brilliant re-creation of a seminal comics character."
1217404994,false,finalized,3,4/24/2017 04:15:15,positive,0.6644,,91,... Nolan gets the character right: Bruce Wayne is the secret identity and Batman is the real persona.
1217404995,false,finalized,3,4/24/2017 04:12:02,positive,1.0,,92,"It's a refreshing approach to the genre, even when revisiting years later, in an era inundated with superhero movies where each tries to better the last's visual effects budget."
1217404996,false,finalized,3,4/24/2017 05:11:29,negative,0.6691,,93,"Compared to the flashier Superman, the dark knight was always more human and prone to brooding, but this film is way out of whack."
1217404997,false,finalized,3,4/24/2017 04:18:57,neutral,1.0,,94,"Every so often, it's time to re-boot Batman."
1217404998,false,finalized,3,4/24/2017 04:17:42,positive,1.0,,95,"It may be too scary intense for younger children, but for everyone else Batman Begins is just about the perfect summer movie."
1217404999,false,finalized,3,4/24/2017 05:10:08,negative,0.6883,,96,I was really glad when it was over.
1217405000,false,finalized,3,4/24/2017 05:10:40,positive,0.6376,,97,"One of the cuddliest, cutest movies you'll ever see about mobsters and murderers."
1217405001,false,finalized,4,4/24/2017 04:03:30,negative,0.7625,,98,"You know a sequel isn't working when, ten minutes into the movie, a voice inside your head starts screaming, 'Please make it stop!'"
1217405002,false,finalized,3,4/24/2017 04:19:30,negative,1.0,,99,"Be Cool lacks both a focus and an edge, making it an amorphous mess."
1217405003,false,finalized,3,4/24/2017 05:15:00,negative,0.6283,,100,The movie feels more like a cavalcade of personalities than anything resembling a story.
1217405004,false,finalized,3,4/24/2017 05:12:29,neutral,0.6736,,101,"It's kind of -- hmmmm, less than good, a little better than not bad, almost all right, mediocre without being grating, sort of in the C-minus-to-C-minus-minus range."
1217405005,false,finalized,3,4/24/2017 05:22:05,neutral,0.6511,,102,Watered-down sequel isn't meant for kids.
1217405006,false,finalized,3,4/24/2017 05:26:28,neutral,0.6436,,103,Self-mocking jokes prevail in F. Gary Gray's feisty cinematic version of Elmore Leonard's irreverent Los Angeles based novel.
1217405007,false,finalized,3,4/24/2017 05:05:20,neutral,1.0,,104,click to read review [Greek]
1217405008,false,finalized,3,4/24/2017 05:15:56,negative,0.6738,,105,"The characters are still engaging, but the story is a mess this time around."
1217405009,false,finalized,3,4/24/2017 05:19:55,negative,0.3714,,106,"The reunion has some lively moments, but a great deal of slow walking and fatuous talking about love, married life and sex."
1217405010,false,finalized,3,4/24/2017 05:17:24,positive,1.0,,107,"Shooting in long takes, Linklater and his actors (who get co-screenwriting credit) allow the conversation to curlicue effortlessly from literate banter to matters of the heart, and sometimes to places in between."
1217405011,false,finalized,3,4/24/2017 05:01:46,positive,0.637,,108,"At the risk of overhyping 80 minutes of intimate real-time, this is the soul of generosity, a beautifully vibrant and big-spirited film."
1217405012,false,finalized,3,4/24/2017 05:18:53,positive,1.0,,109,Before Sunrise and Before Sunset are a rare case of two movies that rightfully demand yet another sequel.
1217405013,false,finalized,3,4/24/2017 05:15:17,positive,1.0,,110,A richer experience than the original.
1217405014,false,finalized,3,4/24/2017 05:22:05,very_positive,0.685,,111,...a superior sequel that accomplishes everything that one might've hoped...
1217405015,false,finalized,3,4/24/2017 05:07:57,very_positive,0.3555,,112,A stone-cold masterpiece.
1217405016,false,finalized,3,4/24/2017 05:19:31,positive,1.0,,113,"Charming, talky romance for older teens and adults."
1217405017,false,finalized,3,4/24/2017 05:08:54,very_positive,0.6733,,114,"As a romance streaked with regrets, obligations and fears, ""Sunset"" builds to a wistful, perfect conclusion - a fadeout infused with the idea that a memory's never finished as long as you're alive and one of the loveliest last-line exchanges of all time."
1217405018,false,finalized,3,4/24/2017 05:16:29,positive,1.0,,115,"the film takes a miraculous healing turn at the end, and the characters rise above their ruefulness, and use it as a springboard into hope"
1217405019,false,finalized,3,4/24/2017 05:04:35,positive,1.0,,116,"Well acted, very well written, well told, and bears yet another ending that will keep audiences wondering."
1217405020,false,finalized,3,4/24/2017 05:12:29,neutral,0.3759,,117,"Overall, the film feels like it issues from a place Burton doesn't inhabit."
1217405021,false,finalized,3,4/24/2017 05:08:39,positive,0.7189,,118,"A compelling look at the relationships between fathers and sons, and the child coming to terms with the parent's mortality."
1217405022,false,finalized,3,4/24/2017 05:12:45,positive,1.0,,119,A long-winded indulgence in tear-and-a-smile whimsy.
1217405023,false,finalized,3,4/24/2017 05:03:31,negative,1.0,,120,A disappointingly dull thud of a fantasy.
1217405024,false,finalized,3,4/24/2017 05:13:34,positive,1.0,,121,the father-and-son story to beat all father-and-son stories
1217405025,false,finalized,3,4/24/2017 05:11:28,positive,1.0,,122,"Delightful, sad father-son story for teens and up."
1217405026,false,finalized,3,4/24/2017 05:53:08,negative,0.6499,,123,"Reliant more on powerful familial emotions than wacky splendor, ""Big Fish"" treads as close to our real world as Tim Burton ever could - a melancholy dissection of paternal distance and never truly knowing how many lives those we love can truly affect."
1217405027,false,finalized,3,4/24/2017 05:06:51,positive,0.6693,,124,Burton invokes the imagination from his crowd and succeeds in making us gasp in wonder.
1217405028,false,finalized,3,4/24/2017 05:20:26,positive,0.6629,,125,Never has going fishing or getting caught been such a treat.
1217405029,false,finalized,3,4/24/2017 05:16:26,negative,0.6974,,126,Unusually austere and ambiguous.
1217405030,false,finalized,3,4/24/2017 05:02:29,negative,0.6865,,127,"By trying to turn Birth into a thriller, the filmmakers undermine its intriguing issues."
1217405031,false,finalized,3,4/24/2017 05:17:02,negative,0.6715,,128,A dismayingly skillful exercise in high-style creepiness.
1217405032,false,finalized,3,4/24/2017 05:12:50,negative,1.0,,129,I didn't find it spellbinding at all.
1217405033,false,finalized,3,4/24/2017 05:11:28,negative,0.7114,,130,"The picture, as a whole, never gets beyond its surface."
1217405034,false,finalized,3,4/24/2017 05:16:29,negative,1.0,,131,"Too highbrow for the multiplex and too literal for the hipsters, it's unsatisfying both as gothic camp and serious cinema."
1217405035,false,finalized,3,4/24/2017 05:11:15,positive,0.6286,,132,"Ten years after premiering at the Venice Film Festival in 2004, Jonathan Glazer's Birth remains as powerfully mysterious as ever."
1217405036,false,finalized,3,4/24/2017 05:26:28,very_negative,0.697,,133,"What begins as a promising and provocative melodrama gradually turns into na conventional and frustrating movie, aimless and pretentious."
1217405037,false,finalized,3,4/24/2017 05:10:56,neutral,0.6531,,134,What were they thinking?
1217405038,false,finalized,3,4/24/2017 05:18:50,neutral,0.6749,,135,Kidman has another turkey for her resume.
1217405039,false,finalized,3,4/24/2017 05:11:29,negative,1.0,,136,"Manhattan-based supernatural thriller done in the tone of ""Rosemary's Baby"" starts out strong but loses all steam in its third act."
1217405040,false,finalized,3,4/24/2017 05:19:52,neutral,0.6685,,137,"all the best and all the worst things associated with the phrase ""art film"""
1217405041,false,finalized,3,4/24/2017 05:17:49,negative,0.6697,,138,It's depressing to see a deluxe cast wasted on such by-the-numbers material.
1217405042,false,finalized,3,4/24/2017 05:17:00,positive,0.6656,,139,"Bonneville is scarcely original and in no way earthshaking, but its notable cast is a pleasure to behold."
1217405043,false,finalized,3,4/24/2017 05:07:29,positive,1.0,,140,"When you've got three of the nation's best actresses in leading roles, it doesn't matter if your script is only adequate and the audience really has to squint here and there to believe what's happening on the screen."
1217405044,false,finalized,3,4/24/2017 05:45:13,negative,0.6816,,141,"There are zero surprises in the road comedy Bonneville, sadly including the fact that three middle-age actresses with three Oscars and nine nominations among them couldn't find anything more challenging to do."
1217405045,false,finalized,3,4/24/2017 05:36:56,negative,0.6781,,142,There's no avoiding the fact that Christopher Rowley's feature debut is as uninspired and predictable as your average Lifetime movie.
1217405046,false,finalized,3,4/24/2017 05:20:34,negative,0.663,,143,The story just doesn't do enough to pull the heartstrings.
1217405047,false,finalized,3,4/24/2017 05:19:45,negative,1.0,,144,"Unfortunately, it's as flimsy as tissue, and the actresses, all 50+, really do more with the material...than it deserves."
1217405048,false,finalized,3,4/24/2017 05:12:05,positive,1.0,,145,"Thank heavens for the practical presence and humour of Bates, and the quiet conservatism of Allen's performance as a pious woman scared of too much freedom."
1217405049,false,finalized,3,4/24/2017 06:08:22,negative,0.6654,,146,"A film full of emotional false notes, bad dialogue and cardboard characters..."
1217405050,false,finalized,3,4/24/2017 05:15:24,positive,1.0,,147,"For a film about discovering your own journey, it sure sticks to the main roads."
1217405051,false,finalized,3,4/24/2017 05:06:36,positive,1.0,,148,"While the premise of this roadtrip come buddy movie may be based on loss, the journey we take is a vibrant one"
1217405052,false,finalized,3,4/24/2017 05:17:49,negative,0.6943,,149,Fright fans expecting anything more than the occasional jolt will be sorely disappointed.
1217405053,false,finalized,3,4/24/2017 05:12:32,negative,0.6267,,150,A vaporous and vacuous horror film.
1217405054,false,finalized,3,4/24/2017 05:17:16,very_negative,0.6616,,151,None of this makes any sense whatsoever.
1217405055,false,finalized,3,4/24/2017 05:12:07,positive,0.6823,,152,A welcome throwback to the glory days of scary movies.
1217405056,false,finalized,3,4/24/2017 05:45:13,negative,1.0,,153,"This is strictly substandard stuff, with imitative creepy noises, vertiginous camera angles, and long pauses during which Tim considers whether to open doors."
1217405057,false,finalized,3,4/24/2017 05:23:27,negative,0.6603,,154,It suffers from a lack of genuine chills or suspense.
1217405058,false,finalized,3,4/24/2017 05:18:50,negative,1.0,,155,A bloated 86 minutes of overzealous spookiness.
1217405059,false,finalized,3,4/24/2017 05:19:01,positive,0.7047,,156,A thinly plotted clothesline of shock effects.
1217405060,false,finalized,3,4/24/2017 05:05:27,neutral,1.0,,157,full review in Greek
1217405061,false,finalized,3,4/24/2017 05:06:02,positive,0.6983,,158,"This film does cause shivers, creeps, scares, and jumps."
1217405062,false,finalized,3,4/24/2017 05:13:03,positive,1.0,,159,Few films benefited that much from being so short.
1217405063,false,finalized,3,4/24/2017 05:19:55,positive,0.6401,,160,"For a good, healthy PG-13 scare, Boogeyman is fun for the whole family -- just don't bring kids who are too young."
1217405064,false,finalized,3,4/24/2017 05:15:17,neutral,0.7189,,161,Modest but guileless.
1217405065,false,finalized,3,4/24/2017 05:15:17,positive,0.6325,,162,Brother Bear is a very mild animated entry from Disney with a distinctly recycled feel.
1217405066,false,finalized,3,4/24/2017 05:31:31,negative,0.6678,,163,"Another watchable, old-fashioned, uninspired Disney animation."
1217405067,false,finalized,3,4/24/2017 05:23:27,negative,0.6659,,164,A lame duck of a movie.
1217405068,false,finalized,3,4/24/2017 05:11:29,negative,0.675,,165,It feels like a project that got quietly pushed through the pipeline while the studio gears up for bigger and better things.
1217405069,false,finalized,3,4/24/2017 05:14:16,neutral,0.3396,,166,...often just as dull as it is engaging...
1217405070,false,finalized,3,4/24/2017 05:13:03,very_negative,0.6888,,167,Lackluster story only for kindergarteners.
1217405071,false,finalized,3,4/24/2017 05:15:24,negative,1.0,,168,"If ""the CEO wants to sell teddy bears"" isn't going to inspire writers to do their best work, what on Earth possibly could?"
1217405072,false,finalized,3,4/24/2017 05:08:00,negative,1.0,,169,"Compared to the Disney classics, this is a lazy and forgettable misfire."
1217405073,false,finalized,3,4/24/2017 05:17:17,positive,1.0,,170,A sweet family film about love and tolerance.
1217405074,false,finalized,3,4/24/2017 05:19:55,negative,0.6746,,171,"It also seems to want to have a message, but it's a little tougher to spot than the usual ""Be true to yourself"" or ""Face up to your destiny."""
1217405075,false,finalized,3,4/24/2017 05:47:56,neutral,0.3488,,172,A soap-opera patchwork of worn backstage cliches.
1217405076,false,finalized,3,4/24/2017 05:18:56,negative,1.0,,173,"Fame may seem silly in retrospect, but Camp, with its dippy dialogue and characters revealing even less complexity than the ones from 42nd Street, arrives silly."
1217405077,false,finalized,3,4/24/2017 05:12:07,negative,0.6823,,174,You'll have trouble keeping your toes from tapping.
1217405078,false,finalized,3,4/24/2017 05:07:21,positive,1.0,,175,"The kids have energy to burn, and you can't help but marvel at the polish they bring to a variety of numbers from a variety of musicals."
1217405079,false,finalized,3,4/24/2017 05:06:02,positive,0.6983,,176,"Its earnest acting and brimming-over love for musicals are infectious, and most of its shopworn narrative devices play as tribute rather than trite."
1217405080,false,finalized,3,4/24/2017 05:12:40,positive,0.6281,,177,"Todd Graff, better known as writer, makes a decent (but no more)directing debut with this mildly amusing but unoriginal indie about a bunch of gays and heteros putting on a show."
1217405081,false,finalized,3,4/24/2017 05:13:37,positive,1.0,,178,Funny movie about theater camp for teens.
1217405082,false,finalized,3,4/24/2017 05:12:07,positive,0.6865,,179,"One doesn't have to be a theater queen to appreciate Camp's humor, but it wouldn't hurt."
1217405083,false,finalized,3,4/24/2017 05:13:42,negative,0.6724,,180,So chock-full of insider theater references that the film reads like a trivia contest held in the Acapulco Room on a cruise sponsored by Broadway.com
1217405084,false,finalized,3,4/24/2017 05:05:27,negative,0.705,,181,"Lying somewhere between Fame and Meatballs, Camp unfortunately possesses neither the energy of the former nor the hilarity of the latter."
1217405085,false,finalized,3,4/24/2017 05:05:36,positive,1.0,,182,"The highlights of the film are when the ostensible plotlines are dropped, and the truly talented kids get a chance to perform."
1217405086,false,finalized,3,4/24/2017 05:17:16,positive,0.6616,,183,Capote is a cool and polished hall of mirrors reflecting the ways in which Truman Capote came to write (and be written by) In Cold Blood.
1217405087,false,finalized,3,4/24/2017 05:06:51,positive,0.6693,,184,Hoffman goes beyond impersonation to something close to possession.
1217405088,false,finalized,3,4/24/2017 05:12:54,positive,0.6361,,185,Skillfully and economically put together.
1217405089,false,finalized,3,4/24/2017 05:11:06,positive,1.0,,186,The almost perfectly realized Capote -- stumbling only in the lack of shading it gives Keener's and Greenwood's characters -- offers a sobering glimpse at what the author had to give up of his soul to achieve his success.
1217405090,false,finalized,3,4/24/2017 05:32:27,positive,0.6553,,187,A meditation on the artist's obligations to the art and to society and lines that blur when you cross them.
