id	sentence
68	What should have been agonizing in its impact comes off as wooden, perhaps because Costa-Gavras works in schematic fashion, spoon-feeding us issues while skimming the historical surface.
69	Amen., a docudrama rather than a documentary, is clearly guided by Shoah's example, asking us to reflect on the Holocaust and what made it possible rather than simply recoil from it.
70	a sputtering, wet firecracker
71	Though Costa-Gavras brings nothing new to the table about the Holocaust, he puts another nail down in the argument that the world could have acted but didn't because of indifference.
72	Though such elements might chip away somewhat at Amen's seriousness of intent, they do add fire to the stimulating drama.
73	It's so inert, so slow-moving that it seems at least twice as long as it really is, and it manages to waste a potentially fascinating premise.
74	Costa-Gavras often shortchanges the story's inherent drama for talky and strident speechifying.
75	Extremely heavy-handed, almost comically repetitious, and way too long.
76	Alejandro González Iñárritu's latest sprawling, dispersed art-film blockbuster prompts a question: Does he just not know how to tell a story?
77	If misery is your pornography, Babel is your holy grail.
78	It's a great film made with style and heart and hope, a cautionary parable and an almost certain Oscar contender.
79	The experience of watching Babel is undeniably riveting: Even if the film doesn't really lead anywhere, you still can't take your eyes off it.
80	Babel is a beautifully depressing film about responsibility, redemption, and ultimately that there are consequences to people's actions, regardless of who they are and where they live.
81	The gimmick-machinery whirrs, but the human beings in it can't breath
82	Director Alejandro González Iñárritu and writer Guillermo Arriaga have fashioned their ideas with conviction and obvious care.
83	An ensemble cast, low-key drama, and tolerable political commentary make "Babel" a gripping success.
84	Babel...belongs to an unfortunately proliferating genre that might be called the higher kitsch.
85	...language acts more as a means to distance and isolate us than aid in our understanding of one another.
86	Nolan takes an admirable stab at developing a character-driven drama, only to give in to generic action-movie conventions with a blinding, deafening, explosion-laden finale that could have capped off any number of interchangeable Jerry Bruckheimer flicks.
87	It's not just the birth of Batman we're seeing in this triumphant interpretation, it's also the dawning of Gotham City's age of greed.
88	Here's how any great franchise should start: with care, precision and delicately wrought atmosphere.
89	A nonstarter.
90	A rousing, reverent, often brilliant re-creation of a seminal comics character.
91	... Nolan gets the character right: Bruce Wayne is the secret identity and Batman is the real persona.
92	It's a refreshing approach to the genre, even when revisiting years later, in an era inundated with superhero movies where each tries to better the last's visual effects budget.
93	Compared to the flashier Superman, the dark knight was always more human and prone to brooding, but this film is way out of whack.
94	Every so often, it's time to re-boot Batman.
95	It may be too scary intense for younger children, but for everyone else Batman Begins is just about the perfect summer movie.
96	I was really glad when it was over.
97	One of the cuddliest, cutest movies you'll ever see about mobsters and murderers.
98	You know a sequel isn't working when, ten minutes into the movie, a voice inside your head starts screaming, 'Please make it stop!'
99	Be Cool lacks both a focus and an edge, making it an amorphous mess.
100	The movie feels more like a cavalcade of personalities than anything resembling a story.
101	It's kind of -- hmmmm, less than good, a little better than not bad, almost all right, mediocre without being grating, sort of in the C-minus-to-C-minus-minus range.
102	Watered-down sequel isn't meant for kids.
103	Self-mocking jokes prevail in F. Gary Gray's feisty cinematic version of Elmore Leonard's irreverent Los Angeles based novel.
104	click to read review [Greek]
105	The characters are still engaging, but the story is a mess this time around.
106	The reunion has some lively moments, but a great deal of slow walking and fatuous talking about love, married life and sex.
107	Shooting in long takes, Linklater and his actors (who get co-screenwriting credit) allow the conversation to curlicue effortlessly from literate banter to matters of the heart, and sometimes to places in between.
108	At the risk of overhyping 80 minutes of intimate real-time, this is the soul of generosity, a beautifully vibrant and big-spirited film.
109	Before Sunrise and Before Sunset are a rare case of two movies that rightfully demand yet another sequel.
110	A richer experience than the original.
111	...a superior sequel that accomplishes everything that one might've hoped...
112	A stone-cold masterpiece.
113	Charming, talky romance for older teens and adults.
114	As a romance streaked with regrets, obligations and fears, "Sunset" builds to a wistful, perfect conclusion - a fadeout infused with the idea that a memory's never finished as long as you're alive and one of the loveliest last-line exchanges of all time.
115	the film takes a miraculous healing turn at the end, and the characters rise above their ruefulness, and use it as a springboard into hope
116	Well acted, very well written, well told, and bears yet another ending that will keep audiences wondering.
117	Overall, the film feels like it issues from a place Burton doesn't inhabit.
118	A compelling look at the relationships between fathers and sons, and the child coming to terms with the parent's mortality.
119	A long-winded indulgence in tear-and-a-smile whimsy.
120	A disappointingly dull thud of a fantasy.
121	the father-and-son story to beat all father-and-son stories
122	Delightful, sad father-son story for teens and up.
123	Reliant more on powerful familial emotions than wacky splendor, "Big Fish" treads as close to our real world as Tim Burton ever could - a melancholy dissection of paternal distance and never truly knowing how many lives those we love can truly affect.
124	Burton invokes the imagination from his crowd and succeeds in making us gasp in wonder.
125	Never has going fishing or getting caught been such a treat.
126	Unusually austere and ambiguous.
127	By trying to turn Birth into a thriller, the filmmakers undermine its intriguing issues.
128	A dismayingly skillful exercise in high-style creepiness.
129	I didn't find it spellbinding at all.
130	The picture, as a whole, never gets beyond its surface.
131	Too highbrow for the multiplex and too literal for the hipsters, it's unsatisfying both as gothic camp and serious cinema.
132	Ten years after premiering at the Venice Film Festival in 2004, Jonathan Glazer's Birth remains as powerfully mysterious as ever.
133	What begins as a promising and provocative melodrama gradually turns into na conventional and frustrating movie, aimless and pretentious.
134	What were they thinking?
135	Kidman has another turkey for her resume.
136	Manhattan-based supernatural thriller done in the tone of "Rosemary's Baby" starts out strong but loses all steam in its third act.
137	all the best and all the worst things associated with the phrase "art film"
138	It's depressing to see a deluxe cast wasted on such by-the-numbers material.
139	Bonneville is scarcely original and in no way earthshaking, but its notable cast is a pleasure to behold.
140	When you've got three of the nation's best actresses in leading roles, it doesn't matter if your script is only adequate and the audience really has to squint here and there to believe what's happening on the screen.
141	There are zero surprises in the road comedy Bonneville, sadly including the fact that three middle-age actresses with three Oscars and nine nominations among them couldn't find anything more challenging to do.
142	There's no avoiding the fact that Christopher Rowley's feature debut is as uninspired and predictable as your average Lifetime movie.
143	The story just doesn't do enough to pull the heartstrings.
144	Unfortunately, it's as flimsy as tissue, and the actresses, all 50+, really do more with the material...than it deserves.
145	Thank heavens for the practical presence and humour of Bates, and the quiet conservatism of Allen's performance as a pious woman scared of too much freedom.
146	A film full of emotional false notes, bad dialogue and cardboard characters...
147	For a film about discovering your own journey, it sure sticks to the main roads.
148	While the premise of this roadtrip come buddy movie may be based on loss, the journey we take is a vibrant one
149	Fright fans expecting anything more than the occasional jolt will be sorely disappointed.
150	A vaporous and vacuous horror film.
151	None of this makes any sense whatsoever.
152	A welcome throwback to the glory days of scary movies.
153	This is strictly substandard stuff, with imitative creepy noises, vertiginous camera angles, and long pauses during which Tim considers whether to open doors.
154	It suffers from a lack of genuine chills or suspense.
155	A bloated 86 minutes of overzealous spookiness.
156	A thinly plotted clothesline of shock effects.
157	full review in Greek
158	This film does cause shivers, creeps, scares, and jumps.
159	Few films benefited that much from being so short.
160	For a good, healthy PG-13 scare, Boogeyman is fun for the whole family -- just don't bring kids who are too young.
161	Modest but guileless.
162	Brother Bear is a very mild animated entry from Disney with a distinctly recycled feel.
163	Another watchable, old-fashioned, uninspired Disney animation.
164	A lame duck of a movie.
165	It feels like a project that got quietly pushed through the pipeline while the studio gears up for bigger and better things.
166	...often just as dull as it is engaging...
167	Lackluster story only for kindergarteners.
168	If "the CEO wants to sell teddy bears" isn't going to inspire writers to do their best work, what on Earth possibly could?
169	Compared to the Disney classics, this is a lazy and forgettable misfire.
170	A sweet family film about love and tolerance.
171	It also seems to want to have a message, but it's a little tougher to spot than the usual "Be true to yourself" or "Face up to your destiny."
172	A soap-opera patchwork of worn backstage cliches.
173	Fame may seem silly in retrospect, but Camp, with its dippy dialogue and characters revealing even less complexity than the ones from 42nd Street, arrives silly.
174	You'll have trouble keeping your toes from tapping.
175	The kids have energy to burn, and you can't help but marvel at the polish they bring to a variety of numbers from a variety of musicals.
176	Its earnest acting and brimming-over love for musicals are infectious, and most of its shopworn narrative devices play as tribute rather than trite.
177	Todd Graff, better known as writer, makes a decent (but no more)directing debut with this mildly amusing but unoriginal indie about a bunch of gays and heteros putting on a show.
178	Funny movie about theater camp for teens.
179	One doesn't have to be a theater queen to appreciate Camp's humor, but it wouldn't hurt.
180	So chock-full of insider theater references that the film reads like a trivia contest held in the Acapulco Room on a cruise sponsored by Broadway.com
181	Lying somewhere between Fame and Meatballs, Camp unfortunately possesses neither the energy of the former nor the hilarity of the latter.
182	The highlights of the film are when the ostensible plotlines are dropped, and the truly talented kids get a chance to perform.
183	Capote is a cool and polished hall of mirrors reflecting the ways in which Truman Capote came to write (and be written by) In Cold Blood.
184	Hoffman goes beyond impersonation to something close to possession.
185	Skillfully and economically put together.
186	The almost perfectly realized Capote -- stumbling only in the lack of shading it gives Keener's and Greenwood's characters -- offers a sobering glimpse at what the author had to give up of his soul to achieve his success.
187	A meditation on the artist's obligations to the art and to society and lines that blur when you cross them.
188	It's a fully realized look at a time and place as well as a riveting study of career obsessions warring with a sense of justice.
189	Its power comes from the slow, steady build to the execution of Perry Smith, the man half-responsible for the murders of a farming family of four, and what that death does to Capote.
190	Miller and Futterman underscore the idea that what Capote's achievement does to the story of Hickock and Smith and the Clutter killings is to remove it from the actual world and place it in a literary one.
191	In a career that has seen actor Phillip Seymour Hoffman play a vast array of characters (and very well at that), Hoffman has found the role of a lifetime which he delivers with uncanny precision.
192	Aims for starkness but ends up as tastefulness
193	The Passion of Truman Capote
194	Hoffman tries, but mainly just gets the surface of Capote.
195	Rips off Doc Hollywood, almost note for note.
196	Though the central idea of nostalgia for a quieter, small-town life may well be lost on this movie's young audience -- Cars finds a pleasant and often sparkling groove.
197	Cars made me want to hop in my jalopy and to head out to Route 66, bypassing the boring interstate highways that made the Mother Road redundant.
198	'Cars' has energy and heart-two things that 'Robots' lacked.
199	Cars is a nice homily to small town life and remembering the past - which definitely has its charms - and call for remembering our roots, but it's been done better elsewhere.
200	Pixar's grown so metallic that having automobiles for animated characters becomes disturbingly apt
201	Although the plot coasts along a predictable path, the verbal jokes and sight gags rev things up along the way, making the film enjoyable almost from start to finish.
202	Adam Sandler still coasts on American pop culture's peculiar indulgence of boys who won't grow up
203	It's a farce about loss, and it doesn't flinch.
204	A domestic tragedy masquerading as a frothy frolic.
205	The jokes don't come frequently enough in Click, and aren't all that funny.
206	[Click] is an abomination.
207	Click brings up some very real problems about adult life but it answers them with Hollywood platitudes ... granted, it's about having fun not trying to find solutions to the problems of modern existence, but it still seems a bit disingenuous.
208	A fascinating film with an unresolved comedy/tragedy axis
209	"Click" is a one-trick-pony of a comedy.
210	As a broad family comedy this is perfectly acceptable, but from a sci-fi point of view it's a very pale imitation of the time travel classics it seeks to ape.
211	For all its competing aspirations, the movie just never clicks.
212	I loved it.
213	Throughout the gruesome cat-and-mouse game being played by Vincent and Max in Collateral, there's something psychologically, dramatically and even sociologically interesting going on.
214	This is a tense, first-rate thriller.
215	Most of the time we are with Cruise and Foxx, and their interplay is never less than galvanizing.
216	After that promising start, Collateral ratchets down, gradually, to being only average.
217	If Collateral is all formula, it's polished to a fine sheen.
218	A visually striking film from the unhinged, endlessly creative mind of Michael Mann.
219	The year's best action thriller with excellent performances from its two leads and Mann's brilliant direction making something as pedestrian as a taxi ride a pulse-pounding thrill ride.
220	Powerful but violent thriller -- not for kids.
221	Mann takes a predictably clichéd, far-fetched crime yarn and transforms it into a fascinating thriller.
222	If anyone is ever to mount an argument for the superiority of video over film, this movie would of necessity be very near to the center of that argument.
223	A very superior thriller with excellent direction and utterly top-notch performances...
224	Overplotted, overcontrived, overshot and overedited.
225	This is a one sweet sexy sting of a movie.
226	Identity is suicidally insecure.
227	What it shares with most of its predecessors is a sterling cast, in this instance almost entirely male, and the willingness of several talented performers to play against type, with entertainingly comic effect.
228	... Confidence does suffer a bit from some plot devices that haven't been original since The Sting, but it's a top-notch character study and a fun exercise in style.
229	A lazy, paint-by-numbers thriller...
230	I was entertained, but hardly stunned.
231	Jammed with double and triple-crosses that make Doug Jung's confusing screenplay secondary to the film's overall look.
232	While it sometimes fails to live up to its title, Confidence ultimately, wins us over-in short, it dazzlingly does what all good cons are supposed to do.
233	Misses the first rule of whodunnit filmmaking and never recovers; if you fool me once, you have to at least give me a reason to care that I've been fooled.
234	Blazes few new trails and bogs down in a confusing narrative muddle.
235	I deeply loathe the Heaven-and-Hell genre to which this cinematic comic-book spectacular belongs.
236	Halfway through Constantine, a fully clad Keanu Reeves steps into a shallow pail of water, sits on a chair next to it and holds a cat in his lap.
237	Peaks early, then descends into portentous nonsense.
238	Entirely beyond redemption.
239	Reeves, meanwhile, has confidently entered his self-parodic period.
240	Days are seared by burning sunlight, nights swallow the world and bring out the demons, and Hell is an Earth burning in the nuclear fires of Armageddon.
241	Visuals and attitude -- not for kids.
242	An enjoyable revelation.
243	A very satisfying film.
244	The prime conceit of the movie is its gallows humor that seeps out like clotting blood from a decomposing corpse.
245	Rachel Weisz gives it her best shot, but she can't save the messy script from its own feelings self-importance.
246	It's a promising concept, but instead of expending effort on, say, a coherent script, the filmmakers lazily rely on cheap editing tricks and gleefully relentless sadism.
247	Leave it alone, or leave your brain and pocket change at the gate, strap yourself in and just enjoy the ride.
248	Viewers baffled by stuff happening for no particular reason should probably stay well away.
249	For those who enjoy this brand of wholly mindless entertainment, Crank delivers.
250	Jason Stratham rampages through Los Angeles in this retread of Speed, but for a movie premised on unrelenting action, Crank proves fatally turgid.
251	The movie is cranked up somewhere between stylish and proudly stupid.
252	It's trashy, gory, gratuitous, ridiculous, completely far-fetched, and I had a smile on my face the entire time.
253	Gets by on a unique kind of absurd, deadpan humor in which the most implausible stuff cheerfully happens anyway.
254	Sure, Crank is totally ridiculous, unbelievable, exhausting, and pretty much just plain stupid, but that's what makes it fun.
255	Ranks among the most mindless action films ever made, but scores as a helluva video game.
256	The super-concentrated silt at the bottom of a chemistry experiment that has no possible purpose to it but to deliver whatever limited jolt of which it's capable.
257	Its freneticism ... futilely tries to cover up the ludicrousness of every decision made by its dim characters.
258	Torn between moody grandiosity and cartoonish mayhem, Daredevil tries to have it both ways, and succeeds at neither.
259	[A] dull actioner.
260	Writer-director Mark Steven Johnson's movie is too heavily reliant on tried and tested ingredients, such as Batman-type design and Matrix-style fighting.
261	Daredevil, as brought to the screen by writer/director Mark Steven Johnson, brings real violence and death into the comic book mix, and the result is a fascinating blend of the fantastic and the tragic.
262	Daredevil is a perfectly serviceable B-movie, something to tide over genre fans waiting for X-Men 2.
263	For all its clichés, it has a cracking third act, helped by doses of 15-rated violence.
264	The results ... are staid, with re-creations of Paris in the Jazz Age and Hollywood in its Golden Age that are like waxworks in motion.
265	A wildly uneven musical biography of Cole Porter.
266	Not inept enough to make the composer spin in his grave ... but not insightful or clever enough to please the old boy, either.
267	Winkler indulges a large amount of screentime detailing these sexual leanings and complications, which disrupts the picture's balance between wannabe musical and straight up bio-pic.
268	The music is de-lovely, but not much else is.
269	More imagination than inquiry, this cautiously reverential tale reaches for aesthetic pleasure and emotion over insight.
270	If you ignore the plot and just approach the flick as nothing more than a 21st century update of a Busby Berkeley-style musical, you will not be disappointed.
271	Performances crackling with an enthusiasm that indicates how much Porter's work continues to be loved and respected.
272	Take away a couple of neatly staged action sequences and you're left with a callously measured slab of US jingoism that deals with the most horrific human tragedies in the most lunk-headed and insulting way possible.
273	I felt cheated.
274	Rarely have [producer] Bruckheimer and [director] Scott been so upfront about insulting people's intelligence.
275	Nobody looks cooler walking in slow motion through a crime scene while wearing sunglasses than Denzel Washington -- but even the great Denzel can't save Déjà Vu.
276	The fleetingly satisfying Déjà Vu is ultimately a self-fulfilling prophecy.
277	Pretty dazzling, as action adventures go, even when it's wildly, almost defiantly, implausible.
278	An intriguing proposal squandered on a well-oiled hack mechanism
279	The time machine element of the movie gets hokey, but the visuals are intriguing and director Tony Scott wrenches suspense and tension from every scene.
280	ve%u0107 vi%u0111eno
281	Like its protagonist, you may find yourself wanting to see it more than once to appreciate how everything fits together - which earns Deja Vu the status of a classic, at least for the future.
282	King is dreamily free-associating, which doesn't mean he's plumbing his unconscious in search of new nightmare archetypes; it means he's recycling bits of old horror and sci-fi flicks and even setups from his own novels.
283	Stupid, sophomoric and moronically silly, it leaves you with the feeling that you might welcome shock treatment just to get your brain back.
284	... not since Death to Smoochy have so many talented people made such a mess of things.
285	If hopeless literalist Kasdan could have decided on a tone ... this could have been a gynophobe's Independence Day.
286	A bumpy thrill ride.
287	Easily one of the most absurdly over-plotted and incoherently condensed horror movies of recent times.
288	As soon as Morgan Freeman's alien hunter/military commander turns up, a riveting movie starts morphing into a predictable villain-on-the-warpath action flick.
289	This Stephen King is way too scary for kids.
290	There's a great cast, and a great director, but ultimately the finishing product fails to live up to any potential.
291	Call me crude -- I have to love a scene of suspense built around fallen toothpicks and a toilet monster.
292	Those looking for a stomach-turning alien film may be pleased, but those looking for a smarter psychological thriller will be sorely disappointed.
293	I challenge you to name a movie with a more convoluted or preposterous storyline.
294	Definitely lives down to its name -- you can see the lips moving on this wooden thing.
295	[T]he best ventriloquist -stalker -family-drama -romantic -comedy I've seen in, well maybe forever.
296	Pritikin's shrewd comedy-drama catches a fine flock of family emotions on the wing, and not the over-exposed ones.
297	What could have been a biting dark comedy is, instead, uninspired and generic.
298	Brody is a real talent, and Illeana Douglas is a riot as his older sister.
299	A mildly engaging addition to that curious sub-genre of American independent filmmaking, the whimsical comedy of Long Island alienation.
300	Pritikin may be asking his audience to pay attention and embrace small successes, but with Dummy, he has pulled off a great one.
301	Pritikin's movie succeeds...thanks to its spirited, oddball humor and winning performances
302	Like its mini-mouthpiece, as pleasantly entertaining as Dummy often is, this ultimately hollow film sounds a few too many wooden notes and creaky jokes.
303	Set at an odd pitch, one best described as shrill.
304	The characters are all strangely endearing, and the real pleasure of the movie is just watching them interact.
305	Surprisingly endearing in moments thanks to finely tuned comic performances, especially from Brody.
306	There isn't a whisper of spontaneity.
307	The movie's dominant visual tone is bronzed grunge, and its emotional tone is depressive.
308	This doesn't exactly set the world on fire, but I was charmed by its old-fashioned storytelling, which is refreshingly free of archness, self-consciousness, or Kill Bill-style wisecracks.
309	Everything comes back to Garner, though -- and even when the movie takes itself too seriously, thankfully she never does.
310	Elektra shoves Frank Miller's eponymous cold-blooded assassin into a PG-13-friendly adventure.
311	A none too Marvel-lous spin-off from Daredevil.
312	Garner, who showed a promising comic touch last year in 13 Going On 30, does her movie career no favors here.
313	If the film isn't as bad as some others in the comics-to-cinema genre (Halle Berry's Catwoman has rather lowered the bar), that's not to say it's good.
314	Worth a look.
315	Daredevil's lady friend Elektra gets a solo outing in this insipid action adventure.
316	Even the action scenes flirt with tedium.
317	Eternal Sunshine of the Spotless Mind goes by like a fevered dream of love, but one you remember vividly, with profound pleasure.
318	The latest and loveliest alternative universe created by Charlie Kaufman, America's most -- we should probably say only -- intellectually provocative screenwriter.
319	A surprisingly bittersweet love story at heart, Eternal Sunshine values the sum of experience, which in this case means a thorns-and-all openness to romantic possibilities.
320	Works marvel after marvel in expressing the bewildering beauty and existential horror of being trapped inside one's own addled mind, and in allegorising the self-preserving amnesia of a broken but hopeful heart.
321	The wacky sight gags and psycho-drama slapstick is tinged with melancholy and regret ...
322	One of the most insightfully sad explorations of the human drive for love since Annie Hall concluded that we need the eggs.
323	Pretty fancy stuff, for a sci-fi romantic comedy.
324	This outing from Kaufman's oddball imagination is wonderfully intriguing, often touching and typically convoluted.
325	Marvel Comics continues to empty out its stable of superheroes with this entertaining tale.
326	Fantastic it most certainly ain't.
327	A garish mediocrity.
328	Before the inevitable and surprisingly anticlimactic battle with Doom, we are treated to two extreme-sports demonstrations, several training montages, [and] an ill-advised love triangle.
329	It exists largely to entertain and delight, which used to be precisely what summer blockbusters were engineered to do.
330	Lee and Kirby built Marvel Comics on the foundation of the FF and it's no stretch to say this franchise could still be going strong a decade later with a better opening act.
331	Fantastic Four is actually very true to its source material - often literally so - but generally misses the spirit entirely.
332	Some comics just shouldn't be turned in to movies...
333	Director Tim Story ("Barbershop") sets an uneven tempo for the embarrassingly clunky script by Michael France ("Hulk") and Mark Frost ("Storyville").
334	The film is made in the internet equivalent of capital letters and its simplistic morality stands out on the big screen more so than on the small page.
335	Harrison Ford is outshone by his costars in this crisp, conventional thriller.
336	Its formulaic moves seem particuarly tired.
337	The movie gets a lift from Mary Lynn Rajskub in a glamorized version of her nerd's wet dream Chloe on 24, which is also better this year with the Chloe quotient pumped up.
338	You've seen this movie a dozen times.
339	This is one of the dopiest plans in the history of evil genius plans.
340	Firewall is barely worth seeing, despite its above-average cast.
341	There's only so much Ford's ever-game efforts can do to dress up dreck.
342	Such a vapid vehicle for every single cast member that it's difficult to actually enjoy.
343	The movie is so disposable that you won't remember you've seen it.
344	Another edge-of-your-seat, roller coaster ride from a matinee idol everybody loves to root for.
345	A solid ensemble almost saves Firewall, but, in the end, it goes up in campy flames.
346	Director Richard Loncraine shows no affinity for the nuts and bolts of constructing thrillers, playing out the script's empty threats and chases at a lethargic pace.
347	The premise provides a fine showcase for the two appealing actresses, who appropriate each other's vocal and physical mannerisms with dead-on accuracy.
348	Nothing's really wrong here, but nor are there surprises.
349	A likable but flimsy retread that's barely worth the effort.
350	The material here may not be the freshest, but screenwriters Heather Hach and the redoubtable Leslie Dixon have buffed the dialogue until it sparkles like the finest cubic zirconium, and the cast is game from top to bottom.
351	It's really a family film, deftly updated for the 2003 market, but still sweetly funny at its heart.
352	What should have been a bland Disney remake has somehow ended up as the most satisfying family comedy for a long time.
353	Mother-daughter switch is fun comedic chaos.
354	A sitcom formula film that tries too hard.
355	A fun, very well-acted and laugh out loud funny remake.
356	The two featured females offset these distractions by having so much apparent fun that it becomes contagious.
357	A hilarious, heartwarming remake.
358	Feels too piecemeal and ultimately inconsequential to grab the public where it counts.
359	This is a movie where 'sensitivity' and 'sincerity' are signposted by songs by Paul Simon and Nick Drake, which I guess says it all.
360	Mr. Braff, Ms. Portman, Mr. Sarsgaard and Mr. Holm never strike a false note as a remarkably coherent acting ensemble, and it is good to see Ron Leibman again in the small role of Doctor Cohen.
361	Cleverly written, sensitively directed and very well-acted.
362	His movie is sweet-natured and skillful, but its biggest problem is perhaps one Braff wasn't prepared to deal with: his own performance -- or, more accurately, the decision to place a deliberately flat performance at the film's heart.
363	Garden State may not define an entire generation, but it has a sharp eye for the passive aimlessness that can take hold when young adults realize there's no handbook on how to find purpose and meaning in life.
364	Braff captures the specific, self-involved ennui of the aimless 20-something, and he doesn't do it from a point of smug detachment.
