UNIT_00031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENT_00010,"After the end of World War II , he was sentenced to life imprisonment by the International Military Tribunal for the Far East .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG_00010,sentenced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT_00035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENT_00013,"The first Divine Liturgy was celebrated in the new church temple on the Orthodox Feast of Palm Sunday , 2011 .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG_00005,celebrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annotation,WH,AUX,PH1,TRG,PH2,PP,PH3,?,Answer1,Answer2,Answer3,Answer4,Answer5,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA0,What,was,,celebrated,,,somewhere,?,The first Divine Liturgy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA1,Where,was,something,celebrated,,,,?,in the new church temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA2,When,was,something,celebrated,,,,?,on the Orthodox Feast of Palm Sunday,"on the Orthodox Feast of Palm Sunday , 2011",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT_00036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENT_00014,"During that period , he also held discussions with Rabbi Menachem Mendel Schneerson of Lubavitch , Rabbi Joel Teitelbaum of Satmar , and other prominent rabbis .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG_00006,held,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annotation,WH,AUX,PH1,TRG,PH2,PP,PH3,?,Answer1,Answer2,Answer3,Answer4,Answer5,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA0,Who,,,held,something,with,someone,?,he,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA1,When,was,something,held,,,,?,During that period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA2,What,did,someone,hold,,,,?,"discussions with Rabbi Menachem Mendel Schneerson of Lubavitch , Rabbi Joel Teitelbaum of Satmar , and other prominent rabbis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT_00037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENT_00015,"Spencer began his professional career at Plymouth Albion , before moving to Saracens , competing in the English Premiership .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG_00001,began,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annotation,WH,AUX,PH1,TRG,PH2,PP,PH3,?,Answer1,Answer2,Answer3,Answer4,Answer5,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA0,Who,,,began,something,,,?,Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA1,What,did,someone,begin,,,,?,his professional career,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA2,Where,did,someone,begin,something,,,?,at Plymouth Albion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA3,When,did,someone,begin,something,,,?,before moving to Saracens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT_00038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENT_00015,"Spencer began his professional career at Plymouth Albion , before moving to Saracens , competing in the English Premiership .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG_00010,moving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annotation,WH,AUX,PH1,TRG,PH2,PP,PH3,?,Answer1,Answer2,Answer3,Answer4,Answer5,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA0,Who,,,moved,,,somewhere,?,Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA1,Where ,did,someone,move,,,,?,to Saracens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT_00039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENT_00015,"Spencer began his professional career at Plymouth Albion , before moving to Saracens , competing in the English Premiership .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG_00014,competing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annotation,WH,AUX,PH1,TRG,PH2,PP,PH3,?,Answer1,Answer2,Answer3,Answer4,Answer5,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA0,Who,,,competed,,,somewhere,?,Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA1,Where,did,someone,compete,,,,?,in the English Premiership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT_00040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENT_00016,"In December 1905 , the club moved into new premises at Four East 60th Street , in a building designed by renowned Beaux Arts architect , Stanford White of McKim , Meade & White .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG_00006,moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annotation,WH,AUX,PH1,TRG,PH2,PP,PH3,?,Answer1,Answer2,Answer3,Answer4,Answer5,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA0,What,,,moved,,,somewhere,?,the club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA1,When,did,something,move,,,,?,In December 1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA2,Where,did,something,move,,,,?,"into new premises at Four East 60th Street , in a building designed by renowned Beaux Arts architect , Stanford White of McKim , Meade & White",into new premises at Four East 60th Street,"in a building designed by renowned Beaux Arts architect , Stanford White of McKim , Meade & White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT_00041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENT_00016,"In December 1905 , the club moved into new premises at Four East 60th Street , in a building designed by renowned Beaux Arts architect , Stanford White of McKim , Meade & White .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG_00019,designed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annotation,WH,AUX,PH1,TRG,PH2,PP,PH3,?,Answer1,Answer2,Answer3,Answer4,Answer5,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA0,Who,,,designed,something,,,?,"renowned Beaux Arts architect , Stanford White of McKim , Meade & White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA1,What ,did,someone,design,,,,?,a building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT_00042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENT_00017,"Thus , in 1900 , Malyavin traveled to Paris , and took France by storm .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG_00006,traveled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annotation,WH,AUX,PH1,TRG,PH2,PP,PH3,?,Answer1,Answer2,Answer3,Answer4,Answer5,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA0,Who,,,traveled,,,somewhere,?,Malyavin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA1,Where,did,someone,travel,,,,?,to Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA2,When ,did,someone,travel,,,somewhere,?,in 1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT_00043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENT_00017,"Thus , in 1900 , Malyavin traveled to Paris , and took France by storm .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG_00011,took,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annotation,WH,AUX,PH1,TRG,PH2,PP,PH3,?,Answer1,Answer2,Answer3,Answer4,Answer5,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA0,Who ,,,took,something,,,?,Malyavin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA1,What,did,someone,take,,,,?,France by storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA2,How,did,someone,take,something,,,?,by storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT_00044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENT_00018,"The Admiralty ordered a further twelve of the class on 14 June 1859 with this new classification , including the `` Mullett '' , and they received their names on 24 September .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG_00002,ordered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annotation,WH,AUX,PH1,TRG,PH2,PP,PH3,?,Answer1,Answer2,Answer3,Answer4,Answer5,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA0,Who,,,ordered,something,,,?,The Admiralty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA1,Who,have,,been ordered,something,,,?,a further twelve of the class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA2,When,did,someone,order,something,,,?,on 14 June 1859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA3,What,did,someone,order,,,,?,this new classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT_00045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENT_00018,"The Admiralty ordered a further twelve of the class on 14 June 1859 with this new classification , including the `` Mullett '' , and they received their names on 24 September .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG_00018,including,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annotation,WH,AUX,PH1,TRG,PH2,PP,PH3,?,Answer1,Answer2,Answer3,Answer4,Answer5,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA0,Who,was,,included,,on,something,?,the `` Mullett '',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT_00046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENT_00018,"The Admiralty ordered a further twelve of the class on 14 June 1859 with this new classification , including the `` Mullett '' , and they received their names on 24 September .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG_00026,received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annotation,WH,AUX,PH1,TRG,PH2,PP,PH3,?,Answer1,Answer2,Answer3,Answer4,Answer5,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA0,Who,,,received ,something,,,?,a further twelve of the class,they,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA1,What,did,someone,receive,,,,?,their names,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA2,When,did,someone,receive,something,,,?,on 24 September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT_00047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENT_00019,During World War I he worked as a medical minder with the Royal Army Medical Corps .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG_00005,worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
